ISABELLA,593,1186,,,,,
SOPHIA,552,1104,,,,,
OLIVIA,440,880,,,,,
EMMA,417,834,,,,,
MIA,417,834,,,,,
EMILY,404,808,,,,,
MADISON,374,748,,,,,
LEAH,361,722,,,,,
SARAH,308,616,,,,,
SOFIA,306,612,,,,,
ASHLEY,278,556,,,,,
VICTORIA,256,512,,,,,
SAMANTHA,223,446,,,,,
ZOE,214,428,,,,,
GABRIELLA,212,424,,,,,
HAILEY,207,414,,,,,
KAYLA,206,412,,,,,
ELIZABETH,200,400,,,,,
BRIANNA,197,394,,,,,
MAYA,195,390,,,,,
