MIGUEL,101,,,
ANGELICA,100,,,
ANNABELLE,100,,,
EMELY,100,,,
IVY,100,,,
JACQUELINE,100,,,
MELISSA,100,,,
JUAN,99,,,
ANIYAH,98,,,
IRIS,98,,,
JULIANNA,98,,,
KIARA,98,,,
LIA,98,,,
MARIAM,98,,,
SKYLAR,98,,,
ALAN,96,,,
PATRICK,96,,,
RUBY,96,,,
SHAINDY,96,,,
DANIELLE,94,,,
ELENA,94,,,
GIA,94,,,
HEAVEN,94,,,
LUCY,94,,,
SHIMON,94,,,
ALICIA,92,,,
BRIELLE,92,,,
CHAVA,92,,,
LEILANI,92,,,
PAIGE,92,,,
NICOLAS,92,,,
ROSE,92,,,
MARCUS,91,,,
AUDREY,90,,,
BROOKE,90,,,
VALERIA,90,,,
MARK,89,,,
ADRIANNA,88,,,
DEVORAH,88,,,
CHASE,88,,,
DEVIN,88,,,
MOHAMED,88,,,
EDWIN,86,,,
LUCIA,86,,,
OMAR,86,,,
RIVKY,86,,,
SADIE,86,,,
LEONARDO,84,,,
NYLAH,84,,,
DINA,82,,,
GIULIANA,82,,,
OSCAR,82,,,
PHOEBE,82,,,
EDWARD,81,,,
ANDY,80,,,
ARIELLA,80,,,
BAILA,80,,,
SASHA,80,,,
SKYLA,80,,,
CLARA,78,,,
DANNA,78,,,
ELEANOR,78,,,
IMANI,78,,,
LEA,78,,,
PETER,78,,,
SARAI,78,,,
TOBY,78,,,
JAIDEN,77,,,
CHANY,76,,,
ERIN,76,,,
GISELLE,76,,,
JOANNA,76,,,
JULIETTE,76,,,
MORDECHAI,76,,,
MUHAMMAD,76,,,
NIA,76,,,
TENZIN,76,,,
ANTONIO,75,,,
YISROEL,75,,,
HINDY,74,,,
KATELYN,74,,,
MOHAMMED,74,,,
YEHUDA,74,,,
AISHA,72,,,
ALINA,72,,,
AUTUMN,72,,,
JOYCE,72,,,
KAMILA,72,,,
MELODY,72,,,
MOLLY,72,,,
MALACHI,72,,,
LUCA,71,,,
EDEN,70,,,
JESUS,70,,,
LIANA,70,,,
TIMOTHY,70,,,
AXEL,69,,,
ALEJANDRO,68,,,
BIANCA,68,,,
LILA,68,,,
NOA,68,,,
JONAH,67,,,
ALESSANDRA,66,,,
ANA,66,,,
BEATRICE,66,,,
EMILIA,66,,,
FRANCESCA,66,,,
GOLDY,66,,,
IZABELLA,66,,,
JOSEPHINE,66,,,
MILES,66,,,
SERENA,66,,,
ADDISON,64,,,
ALISON,64,,,
BRIANA,64,,,
CONNOR,64,,,
EILEEN,64,,,
LAURA,64,,,
PARIS,64,,,
VERONICA,64,,,
VICKY,64,,,
YITTY,64,,,
ALVIN,63,,,
AMINA,62,,,
IRENE,62,,,
MADELYN,62,,,
KAYDEN,62,,,
SUMMER,62,,,
BLAKE,61,,,
KAI,61,,,
MATEO,61,,,
SHLOMO,61,,,
SIMON,61,,,
ANGELIQUE,60,,,
ARON,60,,,
HARPER,60,,,
ERICK,60,,,
JOSELYN,60,,,
KATIE,60,,,
LEILA,60,,,
LIZBETH,60,,,
NADIA,60,,,
TIANA,60,,,
YAKOV,60,,,
KENNETH,59,,,
ALANA,58,,,
AHMED,58,,,
ANGIE,58,,,
DELILAH,58,,,
JACE,58,,,
LENA,58,,,
RAFAEL,58,,,
SCARLET,58,,,
ALI,57,,,
AMARI,57,,,
FELIX,57,,,
CECILIA,56,,,
ELAINE,56,,,
HAZEL,56,,,
HUNTER,56,,,
