ISABELLA,FEMALE,HISPANIC,331,2,1,,,
MIA,FEMALE,HISPANIC,229,14,2,,,
SOPHIA,FEMALE,HISPANIC,223,17,3,,,
ASHLEY,FEMALE,HISPANIC,190,25,4,,,
CAMILA,FEMALE,HISPANIC,188,28,5,,,
SOFIA,FEMALE,HISPANIC,165,53,6,,,
EMILY,FEMALE,HISPANIC,162,54,7,,,
HAILEY,FEMALE,HISPANIC,126,83,8,,,
LEAH,FEMALE,HISPANIC,123,87,9,,,
MADISON,FEMALE,HISPANIC,122,88,10,,,
